timestamp_ms,label,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,gx_dps,gy_dps,gz_dps
23976,99,-7064,3468,14220,405,379,-59,3.09,2.89,-0.45
23988,99,-7084,3424,14108,393,368,-86,3,2.81,-0.66
24000,99,-7160,3412,14108,417,305,-61,3.18,2.33,-0.47
24012,99,-7072,3404,13936,390,272,-62,2.98,2.08,-0.47
24024,99,-7068,3380,14128,352,270,-35,2.69,2.06,-0.27
24036,99,-7100,3420,13996,413,199,-30,3.15,1.52,-0.23
24069,99,-7196,3380,13924,366,221,-100,2.79,1.69,-0.76
24081,99,-7124,3460,13916,376,285,19,2.87,2.17,0.14
24093,99,-7128,3400,13972,255,305,28,1.95,2.33,0.21
24105,99,-7136,3448,13976,312,226,46,2.38,1.72,0.35
24117,99,-7072,3444,14088,338,273,19,2.58,2.08,0.14
24129,99,-7072,3436,14048,305,247,27,2.33,1.88,0.21
24141,99,-7040,3476,13892,244,219,27,1.86,1.67,0.21
24153,99,-7168,3396,14004,253,216,79,1.93,1.65,0.6
24165,99,-7140,3432,14044,248,220,71,1.89,1.68,0.54
24198,99,-7232,3348,13968,310,193,49,2.37,1.47,0.37
24210,99,-7060,3416,14008,284,323,73,2.17,2.46,0.56
24222,99,-7108,3432,14076,216,301,54,1.65,2.3,0.41
24234,99,-7052,3384,14036,216,252,96,1.65,1.92,0.73
24246,99,-7004,3476,14112,336,184,77,2.56,1.4,0.59
24258,99,-6916,3408,14064,233,228,62,1.78,1.74,0.47
24270,99,-7004,3424,14088,261,249,64,1.99,1.9,0.49
24282,99,-7008,3380,14040,270,295,97,2.06,2.25,0.74
24294,99,-7024,3364,13988,227,272,37,1.73,2.08,0.28
24327,99,-7064,3364,13968,448,249,11,3.42,1.9,0.08
24339,99,-7004,3452,14024,325,250,-40,2.48,1.91,-0.31
24351,99,-6956,3432,14072,301,207,-22,2.3,1.58,-0.17
24363,99,-7020,3384,13936,332,270,29,2.53,2.06,0.22
24375,99,-7004,3440,14156,389,348,-30,2.97,2.66,-0.23
24387,99,-6956,3380,14116,407,303,-30,3.11,2.31,-0.23
24399,99,-7044,3388,14000,386,294,-45,2.94,2.24,-0.34
24411,99,-7128,3444,14044,353,334,4,2.69,2.55,0.03
24423,99,-7120,3424,14000,307,330,5,2.34,2.52,0.04
24456,99,-7196,3252,14012,445,311,11,3.4,2.37,0.08
24468,99,-7044,3360,13988,392,214,19,2.99,1.63,0.14
24480,99,-7036,3368,14000,351,227,27,2.68,1.73,0.21
24492,99,-7048,3368,14112,292,252,12,2.23,1.92,0.09
